,artist_name,track_name,year,energy,danceability,loudness,acousticness,speechiness,liveness,valence,bpm,duration
105,Bruno Mars,Locked Out of Heaven,2012,0.07,0.073,-0.004,5e-05,0.0004,0.0031,0.087,0.144,233.0
106,Coldplay,Paradise,2012,0.059,0.045,-0.007,5e-05,0.0003,0.0008,0.02,0.14,279.0
107,Maroon 5,Payphone,2012,0.075,0.074,-0.005,2e-05,0.0004,0.0029,0.055,0.11,231.0
108,One Direction,What Makes You Beautiful,2012,0.079,0.073,-0.002,1e-05,0.0007,0.0006,0.089,0.125,200.0
109,Taylor Swift,I Knew You Were Trouble.,2012,0.047,0.062,-0.007,0.0,0.0004,0.0003,0.068,0.077,220.0
110,Carly Rae Jepsen,Call Me Maybe,2012,0.058,0.078,-0.007,1e-05,0.0004,0.0011,0.066,0.12,193.0
111,Selena Gomez & The Scene,Love You Like A Love Song,2012,0.068,0.086,-0.004,8e-05,0.0005,0.0007,0.092,0.117,188.0
112,Adele,Set Fire to the Rain,2012,0.068,0.061,-0.004,0.0,0.0003,0.0013,0.047,0.108,242.0
113,Taylor Swift,We Are Never Ever Getting Back Together,2012,0.068,0.063,-0.006,1e-05,0.0009,0.0012,0.075,0.086,193.0
114,Kelly Clarkson,Stronger (What Doesn't Kill You),2012,0.094,0.056,-0.004,5e-05,0.0005,0.0011,0.068,0.116,222.0
115,P!nk,Try,2012,0.063,0.067,-0.007,0.0,0.0003,0.0009,0.055,0.104,248.0
116,Nicki Minaj,Starships,2012,0.072,0.075,-0.002,0.00014,0.0008,0.0025,0.075,0.125,211.0
117,Maroon 5,One More Night,2012,0.082,0.072,-0.003,6e-05,0.0003,0.0008,0.062,0.093,220.0
118,Owl City,Good Time,2012,0.087,0.056,-0.004,2e-05,0.0014,0.0037,0.068,0.126,206.0
119,The Wanted,Glad You Came,2012,0.085,0.072,-0.004,3e-05,0.0006,0.0011,0.045,0.127,198.0
120,Justin Bieber,Beauty And A Beat,2012,0.084,0.06,-0.005,0.0,0.0006,0.0007,0.053,0.128,228.0
121,Pitbull,International Love,2012,0.086,0.067,-0.003,1e-05,0.0005,0.0034,0.065,0.12,227.0
122,fun.,Some Nights,2012,0.074,0.067,-0.007,2e-05,0.0005,0.0009,0.039,0.108,277.0
123,Justin Bieber,Boyfriend,2012,0.055,0.072,-0.006,4e-05,0.0005,0.0013,0.033,0.097,171.0
124,Katy Perry,Part Of Me,2012,0.092,0.068,-0.005,0.0,0.0004,0.0007,0.077,0.13,216.0
125,Jessie J,Domino,2012,0.055,0.076,-0.005,1e-05,0.0003,0.0004,0.078,0.127,232.0
